age;educ;insch;male;nkids;married;credit_famille
20;des;True;True;3;True;0.06706046346669589
20;des;True;True;4;False;4.004199561639228e-17
20;des;True;True;4;True;0.06706046346669589
20;des;True;True;5;False;4.004199561639228e-17
20;des;True;True;5;True;0.06706046346669589
20;des;True;True;6;False;4.004199561639228e-17
20;des;True;True;6;True;0.06706046346669589
20;des;True;True;7;False;4.004199561639228e-17
20;des;True;True;7;True;0.06706046346669589
20;none;False;False;0;False;3.247612856940129e-17
20;none;False;False;0;True;3.8126794961939995e-17
20;none;False;False;1;False;0.2699872595078954
20;none;False;False;1;True;0.10959846153009917
20;none;False;False;2;False;0.26600540212482754
20;none;False;False;2;True;0.2393295000400334
20;none;False;False;3;False;0.195872927236073
20;none;False;False;3;True;0.2547153319253401
20;none;False;False;4;False;0.195872927236073
20;none;False;False;4;True;0.2547153319253401
20;none;False;False;5;False;0.195872927236073
20;none;False;False;5;True;0.2547153319253401
20;none;False;False;6;False;0.195872927236073
20;none;False;False;6;True;0.2547153319253401
20;none;False;False;7;False;0.195872927236073
20;none;False;False;7;True;0.2547153319253401
20;none;False;True;0;False;6.6244613357558955e-18
20;none;False;True;0;True;1.1644652157629625e-17
20;none;False;True;1;False;0.07406141365686414
20;none;False;True;1;True;0.009547175604674607
20;none;False;True;2;False;0.19295464514261793
20;none;False;True;2;True;0.008281302177757993
20;none;False;True;3;False;0.003248312086375699
20;none;False;True;3;True;0.005785537967951321
20;none;False;True;4;False;0.003248312086375699
20;none;False;True;4;True;0.005785537967951321
20;none;False;True;5;False;0.003248312086375699
20;none;False;True;5;True;0.005785537967951321
20;none;False;True;6;False;0.003248312086375699
20;none;False;True;6;True;0.005785537967951321
20;none;False;True;7;False;0.003248312086375699
20;none;False;True;7;True;0.005785537967951321
20;none;True;False;0;False;-1.6601280059806293e-17
20;none;True;False;0;True;2.0099949202249683e-16
20;none;True;False;1;False;0.110008491828403
20;none;True;False;1;True;0.09588270841584522
20;none;True;False;2;False;0.36383191360765976
20;none;True;False;2;True;0.17267448381463285
20;none;True;False;3;False;0.38843026121242
20;none;True;False;3;True;0.39240929965857135
20;none;True;False;4;False;0.38843026121242
20;none;True;False;4;True;0.39240929965857135
20;none;True;False;5;False;0.38843026121242
20;none;True;False;5;True;0.39240929965857135
20;none;True;False;6;False;0.38843026121242
20;none;True;False;6;True;0.39240929965857135
20;none;True;False;7;False;0.38843026121242
20;none;True;False;7;True;0.39240929965857135
20;none;True;True;0;False;-9.78683857948915e-18
20;none;True;True;0;True;1.1709904476900233e-17
20;none;True;True;1;False;2.0038042614080876e-17
20;none;True;True;1;True;0.039822130302785044
20;none;True;True;2;False;0.012122609980944186
20;none;True;True;2;True;0.02424521996188838
20;none;True;True;3;False;4.004199561639228e-17
20;none;True;True;3;True;0.06706046346669589
20;none;True;True;4;False;4.004199561639228e-17
20;none;True;True;4;True;0.06706046346669589
20;none;True;True;5;False;4.004199561639228e-17
20;none;True;True;5;True;0.06706046346669589
20;none;True;True;6;False;4.004199561639228e-17
20;none;True;True;6;True;0.06706046346669589
20;none;True;True;7;False;4.004199561639228e-17
20;none;True;True;7;True;0.06706046346669589
20;uni;False;False;0;False;-1.9467931831070612e-17
20;uni;False;False;0;True;1.7827697529840315e-17
20;uni;False;False;1;False;0.05767252066123635
20;uni;False;False;1;True;0.02760750661678208
20;uni;False;False;2;False;0.05373116592033085
20;uni;False;False;2;True;0.05652978406320685
20;uni;False;False;3;False;0.03647916148691416
20;uni;False;False;3;True;0.17248856239245175
20;uni;False;False;4;False;0.03647916148691416
20;uni;False;False;4;True;0.17248856239245175
20;uni;False;False;5;False;0.03647916148691416
20;uni;False;False;5;True;0.17248856239245175
20;uni;False;False;6;False;0.03647916148691416
20;uni;False;False;6;True;0.17248856239245175
20;uni;False;False;7;False;0.03647916148691416
20;uni;False;False;7;True;0.17248856239245175
20;uni;False;True;0;False;-3.818960819640695e-17
20;uni;False;True;0;True;5.135228712336956e-18
20;uni;False;True;1;False;0.02598201372753863
20;uni;False;True;1;True;0.012107472821401555
20;uni;False;True;2;False;0.07577779642588466
20;uni;False;True;2;True;0.009862069096186254
20;uni;False;True;3;False;-9.217125864228185e-17
20;uni;False;True;3;True;0.008343629674079749
20;uni;False;True;4;False;-9.217125864228185e-17
20;uni;False;True;4;True;0.008343629674079749
20;uni;False;True;5;False;-9.217125864228185e-17
20;uni;False;True;5;True;0.008343629674079749
20;uni;False;True;6;False;-9.217125864228185e-17
20;uni;False;True;6;True;0.008343629674079749
20;uni;False;True;7;False;-9.217125864228185e-17
20;uni;False;True;7;True;0.008343629674079749
20;uni;True;False;0;False;-1.6601280059806293e-17
20;uni;True;False;0;True;2.0099949202249683e-16
20;uni;True;False;1;False;0.110008491828403
20;uni;True;False;1;True;0.09588270841584522
20;uni;True;False;2;False;0.36383191360765976
20;uni;True;False;2;True;0.17267448381463285
20;uni;True;False;3;False;0.38843026121242
20;uni;True;False;3;True;0.39240929965857135
20;uni;True;False;4;False;0.38843026121242
20;uni;True;False;4;True;0.39240929965857135
20;uni;True;False;5;False;0.38843026121242
20;uni;True;False;5;True;0.39240929965857135
20;uni;True;False;6;False;0.38843026121242
20;uni;True;False;6;True;0.39240929965857135
20;uni;True;False;7;False;0.38843026121242
20;uni;True;False;7;True;0.39240929965857135
20;uni;True;True;0;False;-9.78683857948915e-18
20;uni;True;True;0;True;1.1709904476900233e-17
20;uni;True;True;1;False;2.0038042614080876e-17
20;uni;True;True;1;True;0.039822130302785044
20;uni;True;True;2;False;0.012122609980944186
20;uni;True;True;2;True;0.02424521996188838
20;uni;True;True;3;False;4.004199561639228e-17
20;uni;True;True;3;True;0.06706046346669589
20;uni;True;True;4;False;4.004199561639228e-17
20;uni;True;True;4;True;0.06706046346669589
20;uni;True;True;5;False;4.004199561639228e-17
20;uni;True;True;5;True;0.06706046346669589
20;uni;True;True;6;False;4.004199561639228e-17
20;uni;True;True;6;True;0.06706046346669589
20;uni;True;True;7;False;4.004199561639228e-17
20;uni;True;True;7;True;0.06706046346669589
21;dec;False;False;0;False;1.1483528695739767e-16
21;dec;False;False;0;True;2.3612963771669996e-17
21;dec;False;False;1;False;0.1576668932149271
21;dec;False;False;1;True;0.05894932078475498
21;dec;False;False;2;False;0.2403927860258921
21;dec;False;False;2;True;0.0974186130736098
21;dec;False;False;3;False;0.32015030930694566
21;dec;False;False;3;True;0.15125663362641206
21;dec;False;False;4;False;0.32015030930694566
21;dec;False;False;4;True;0.15125663362641206
21;dec;False;False;5;False;0.32015030930694566
21;dec;False;False;5;True;0.15125663362641206
21;dec;False;False;6;False;0.32015030930694566
21;dec;False;False;6;True;0.15125663362641206
21;dec;False;False;7;False;0.32015030930694566
21;dec;False;False;7;True;0.15125663362641206
21;dec;False;True;0;False;-6.498256943802316e-18
21;dec;False;True;0;True;-1.659113227809171e-17
21;dec;False;True;1;False;0.020987741824519193
21;dec;False;True;1;True;0.009826477309960977
21;dec;False;True;2;False;0.08113643516346496
21;dec;False;True;2;True;0.017208073045490255
21;dec;False;True;3;False;0.19494520148035913
21;dec;False;True;3;True;0.018780986331582816
21;dec;False;True;4;False;0.19494520148035913
21;dec;False;True;4;True;0.018780986331582816
21;dec;False;True;5;False;0.19494520148035913
21;dec;False;True;5;True;0.018780986331582816
21;dec;False;True;6;False;0.19494520148035913
21;dec;False;True;6;True;0.018780986331582816
21;dec;False;True;7;False;0.19494520148035913
21;dec;False;True;7;True;0.018780986331582816
21;dec;True;False;0;False;-1.6601280059806293e-17
21;dec;True;False;0;True;2.0099949202249683e-16
21;dec;True;False;1;False;0.110008491828403
21;dec;True;False;1;True;0.09588270841584522
21;dec;True;False;2;False;0.36383191360765976
21;dec;True;False;2;True;0.17267448381463285
21;dec;True;False;3;False;0.38843026121242
21;dec;True;False;3;True;0.39240929965857135
21;dec;True;False;4;False;0.38843026121242
21;dec;True;False;4;True;0.39240929965857135
21;dec;True;False;5;False;0.38843026121242
21;dec;True;False;5;True;0.39240929965857135
21;dec;True;False;6;False;0.38843026121242
21;dec;True;False;6;True;0.39240929965857135
21;dec;True;False;7;False;0.38843026121242
21;dec;True;False;7;True;0.39240929965857135
21;dec;True;True;0;False;-9.78683857948915e-18
21;dec;True;True;0;True;1.1709904476900233e-17
21;dec;True;True;1;False;2.0038042614080876e-17
21;dec;True;True;1;True;0.039822130302785044
21;dec;True;True;2;False;0.012122609980944186
21;dec;True;True;2;True;0.02424521996188838
21;dec;True;True;3;False;4.004199561639228e-17
21;dec;True;True;3;True;0.06706046346669589
21;dec;True;True;4;False;4.004199561639228e-17
21;dec;True;True;4;True;0.06706046346669589
21;dec;True;True;5;False;4.004199561639228e-17
21;dec;True;True;5;True;0.06706046346669589
21;dec;True;True;6;False;4.004199561639228e-17
21;dec;True;True;6;True;0.06706046346669589
21;dec;True;True;7;False;4.004199561639228e-17
21;dec;True;True;7;True;0.06706046346669589
21;des;False;False;0;False;6.795120489425004e-17
21;des;False;False;0;True;-9.617249988489285e-18
21;des;False;False;1;False;0.16038019618339755
21;des;False;False;1;True;0.06473402872958721
21;des;False;False;2;False;0.2912356213783895
21;des;False;False;2;True;0.14486697691651435
21;des;False;False;3;False;0.5324990079156314
21;des;False;False;3;True;0.22220883923825618
21;des;False;False;4;False;0.5324990079156314
21;des;False;False;4;True;0.22220883923825618
21;des;False;False;5;False;0.5324990079156314
21;des;False;False;5;True;0.22220883923825618
21;des;False;False;6;False;0.5324990079156314
21;des;False;False;6;True;0.22220883923825618
21;des;False;False;7;False;0.5324990079156314
21;des;False;False;7;True;0.22220883923825618
21;des;False;True;0;False;8.314148744932987e-19
21;des;False;True;0;True;3.0515673916604246e-17
21;des;False;True;1;False;0.1378094130115029
21;des;False;True;1;True;0.006101429659032126
21;des;False;True;2;False;0.06505981524736587
21;des;False;True;2;True;0.01656705670776132
21;des;False;True;3;False;0.006409515881931916
21;des;False;True;3;True;0.01281903176386383
21;des;False;True;4;False;0.006409515881931916
21;des;False;True;4;True;0.01281903176386383
21;des;False;True;5;False;0.006409515881931916
21;des;False;True;5;True;0.01281903176386383
21;des;False;True;6;False;0.006409515881931916
21;des;False;True;6;True;0.01281903176386383
21;des;False;True;7;False;0.006409515881931916
21;des;False;True;7;True;0.01281903176386383
21;des;True;False;0;False;-1.6601280059806293e-17
21;des;True;False;0;True;2.0099949202249683e-16
21;des;True;False;1;False;0.110008491828403
21;des;True;False;1;True;0.09588270841584522
21;des;True;False;2;False;0.36383191360765976
21;des;True;False;2;True;0.17267448381463285
21;des;True;False;3;False;0.38843026121242
21;des;True;False;3;True;0.39240929965857135
21;des;True;False;4;False;0.38843026121242
21;des;True;False;4;True;0.39240929965857135
21;des;True;False;5;False;0.38843026121242
21;des;True;False;5;True;0.39240929965857135
21;des;True;False;6;False;0.38843026121242
21;des;True;False;6;True;0.39240929965857135
21;des;True;False;7;False;0.38843026121242
21;des;True;False;7;True;0.39240929965857135
21;des;True;True;0;False;-9.78683857948915e-18
21;des;True;True;0;True;1.1709904476900233e-17
21;des;True;True;1;False;2.0038042614080876e-17
21;des;True;True;1;True;0.039822130302785044
21;des;True;True;2;False;0.012122609980944186
21;des;True;True;2;True;0.02424521996188838
21;des;True;True;3;False;4.004199561639228e-17
21;des;True;True;3;True;0.06706046346669589
21;des;True;True;4;False;4.004199561639228e-17
21;des;True;True;4;True;0.06706046346669589
21;des;True;True;5;False;4.004199561639228e-17
21;des;True;True;5;True;0.06706046346669589
21;des;True;True;6;False;4.004199561639228e-17
21;des;True;True;6;True;0.06706046346669589
21;des;True;True;7;False;4.004199561639228e-17
21;des;True;True;7;True;0.06706046346669589
21;none;False;False;0;False;3.247612856940129e-17
21;none;False;False;0;True;3.8126794961939995e-17
21;none;False;False;1;False;0.2699872595078954
21;none;False;False;1;True;0.10959846153009917
21;none;False;False;2;False;0.26600540212482754
21;none;False;False;2;True;0.2393295000400334
21;none;False;False;3;False;0.195872927236073
21;none;False;False;3;True;0.2547153319253401
21;none;False;False;4;False;0.195872927236073
21;none;False;False;4;True;0.2547153319253401
21;none;False;False;5;False;0.195872927236073
21;none;False;False;5;True;0.2547153319253401
21;none;False;False;6;False;0.195872927236073
21;none;False;False;6;True;0.2547153319253401
21;none;False;False;7;False;0.195872927236073
21;none;False;False;7;True;0.2547153319253401
21;none;False;True;0;False;6.6244613357558955e-18
21;none;False;True;0;True;1.1644652157629625e-17
21;none;False;True;1;False;0.07406141365686414
21;none;False;True;1;True;0.009547175604674607
21;none;False;True;2;False;0.19295464514261793
21;none;False;True;2;True;0.008281302177757993
21;none;False;True;3;False;0.003248312086375699
21;none;False;True;3;True;0.005785537967951321
21;none;False;True;4;False;0.003248312086375699
21;none;False;True;4;True;0.005785537967951321
21;none;False;True;5;False;0.003248312086375699
21;none;False;True;5;True;0.005785537967951321
21;none;False;True;6;False;0.003248312086375699
21;none;False;True;6;True;0.005785537967951321
21;none;False;True;7;False;0.003248312086375699
21;none;False;True;7;True;0.005785537967951321
21;none;True;False;0;False;-1.6601280059806293e-17
21;none;True;False;0;True;2.0099949202249683e-16
21;none;True;False;1;False;0.110008491828403
21;none;True;False;1;True;0.09588270841584522
21;none;True;False;2;False;0.36383191360765976
21;none;True;False;2;True;0.17267448381463285
21;none;True;False;3;False;0.38843026121242
21;none;True;False;3;True;0.39240929965857135
21;none;True;False;4;False;0.38843026121242
21;none;True;False;4;True;0.39240929965857135
21;none;True;False;5;False;0.38843026121242
21;none;True;False;5;True;0.39240929965857135
21;none;True;False;6;False;0.38843026121242
21;none;True;False;6;True;0.39240929965857135
21;none;True;False;7;False;0.38843026121242
21;none;True;False;7;True;0.39240929965857135
21;none;True;True;0;False;-9.78683857948915e-18
21;none;True;True;0;True;1.1709904476900233e-17
21;none;True;True;1;False;2.0038042614080876e-17
21;none;True;True;1;True;0.039822130302785044
21;none;True;True;2;False;0.012122609980944186
21;none;True;True;2;True;0.02424521996188838
21;none;True;True;3;False;4.004199561639228e-17
21;none;True;True;3;True;0.06706046346669589
21;none;True;True;4;False;4.004199561639228e-17
21;none;True;True;4;True;0.06706046346669589
